ID,date,cluster_id,electricity_consumption,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunshine_duration,daylight_duration,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,year,month,day_of_week,day_of_year,is_weekend,month_sin,month_cos,day_sin,day_cos,is_pandemic,cluster_id_encoded,HDD,daylight_ratio,temp_lag_1,sun_lag_1,temp_lag_2,sun_lag_2,temp_lag_7,sun_lag_7,temp_roll_mean_3,temp_roll_mean_7
cluster_1_2014-01-08,2014-01-08,cluster_1,6.021962228852547,12.1,8.0,10.6,5.3,10466.929999999998,30338.546666666665,28.4,63.7,199.33312629990328,3.01,0.5433333333333333,2014,1,2,8,0,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,0,0,5.9,0.3449929596838625,12.4,20601.4,13.8,6057.546666666666,10.8,53.00333333333333,12.533333333333333,11.62857142857143
cluster_1_2014-01-09,2014-01-09,cluster_1,6.040854531349382,11.4,6.3,8.7,2.9,7693.66,30439.77,30.2,62.6,228.3349908640192,2.1066666666666665,0.6066666666666667,2014,1,3,9,0,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,0,0,6.6,0.2527419641487387,12.1,10466.929999999998,12.4,20601.4,10.7,22372.0,12.766666666666666,11.814285714285715
cluster_1_2014-01-10,2014-01-10,cluster_1,6.069737227668906,7.9,3.8,4.6,0.8,7013.95,30546.28,18.3,32.4,209.6558701729083,2.686666666666666,0.3533333333333333,2014,1,4,10,0,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,0,0,10.1,0.22960964118572913,11.4,7693.66,12.1,10466.929999999998,11.7,21906.06,11.966666666666667,11.914285714285715
cluster_1_2014-01-11,2014-01-11,cluster_1,5.949605556760029,9.6,0.9,6.7,-2.1,22416.76333333333,30657.84,16.0,33.5,250.37971211087049,4.096666666666667,0.47,2014,1,5,11,1,0.49999999999999994,0.8660254037844387,0.1882267098432442,0.9821256058680006,0,0,8.4,0.7311680198381063,7.9,7013.95,11.4,7693.66,10.6,5938.093333333333,10.466666666666667,11.37142857142857
cluster_1_2014-01-12,2014-01-12,cluster_1,5.90408037336555,9.9,-0.1,6.1,-3.6,391.5799999999999,30774.22,26.5,46.4,142.99322989193024,2.17,0.3366666666666666,2014,1,6,12,1,0.49999999999999994,0.8660254037844387,0.2051044998686192,0.9787400799669153,0,0,8.1,0.01272387329806253,9.6,22416.76333333333,7.9,7013.95,11.4,13408.483333333332,9.633333333333333,11.22857142857143
cluster_1_2014-01-13,2014-01-13,cluster_1,6.067058914029465,10.1,5.0,6.7,1.3,25038.8,30895.20333333333,26.5,48.2,203.0,4.603333333333333,0.62,2014,1,0,13,0,0.49999999999999994,0.8660254037844387,0.2219215130041655,0.9750645322571948,0,0,7.9,0.8104167275785018,9.9,391.5799999999999,9.6,22416.76333333333,13.8,6057.546666666666,9.133333333333335,11.014285714285714
cluster_1_2014-01-14,2014-01-14,cluster_1,6.121285941190819,7.5,2.6,4.1,-0.9,17200.016666666666,31020.55,18.7,37.4,240.4423486376469,3.5500000000000003,0.4866666666666666,2014,1,1,14,0,0.49999999999999994,0.8660254037844387,0.2386727660059501,0.9711000518829505,0,0,10.5,0.5544538124841172,10.1,25038.8,9.9,391.5799999999999,12.4,20601.4,9.866666666666667,10.485714285714286
cluster_1_2014-01-15,2014-01-15,cluster_1,6.132827381284821,10.9,1.3,7.5,-2.3,0.0,31150.04,25.0,45.7,194.6647380507769,0.87,0.3466666666666667,2014,1,2,15,0,0.49999999999999994,0.8660254037844387,0.255353295116187,0.9668478136052775,0,0,7.1,0.0,7.5,17200.016666666666,10.1,25038.8,12.1,10466.929999999998,9.166666666666666,9.785714285714286
cluster_1_2014-01-16,2014-01-16,cluster_1,6.105313186501142,10.4,6.0,6.3,2.2,15419.703333333331,31283.45333333333,29.8,58.0,191.332753728081,3.1766666666666663,0.6699999999999999,2014,1,3,16,0,0.49999999999999994,0.8660254037844387,0.2719581575341055,0.9623090774541486,0,0,7.6,0.4928870953581203,10.9,0.0,7.5,17200.016666666666,11.4,7693.66,9.5,9.614285714285714
cluster_1_2014-01-17,2014-01-17,cluster_1,6.086824725662349,9.8,5.7,5.8,1.8,8478.756666666666,31420.57,31.7,56.5,193.3329905781327,2.29,0.7833333333333333,2014,1,4,17,0,0.49999999999999994,0.8660254037844387,0.288482432880609,0.9574851883550393,0,0,8.2,0.269838733922801,10.4,15419.703333333331,10.9,0.0,7.9,7013.95,9.6,9.471428571428572
cluster_1_2014-01-18,2014-01-18,cluster_1,5.978283051660412,10.7,3.6,7.3,-0.2,24490.75,31561.173333333336,22.5,40.0,151.66024690574218,4.93,0.9,2014,1,5,18,1,0.49999999999999994,0.8660254037844387,0.30492122465628907,0.9523775757303974,0,0,7.300000000000001,0.7759525854366598,9.8,8478.756666666666,10.4,15419.703333333331,9.6,22416.76333333333,10.366666666666667,9.742857142857144
cluster_1_2014-01-19,2014-01-19,cluster_1,5.920019564509579,9.0,2.7,7.5,0.1,16185.08,31705.053333333333,20.4,37.8,203.2143154176944,3.59,0.5599999999999999,2014,1,6,19,1,0.49999999999999994,0.8660254037844387,0.3212696616923644,0.9469877530760753,0,0,9.0,0.5104728686930025,10.7,24490.75,9.8,8478.756666666666,9.9,391.5799999999999,10.299999999999999,9.9
cluster_1_2014-01-20,2014-01-20,cluster_1,6.119870954401496,7.7,-0.6,5.1,-3.8,10987.19,31852.006666666668,20.1,33.8,280.24761022464327,3.37,0.41,2014,1,0,20,0,0.49999999999999994,0.8660254037844387,0.3375228995941133,0.9413173175128471,0,0,10.3,0.34493415692207813,9.0,16185.08,10.7,24490.75,10.1,25038.8,9.833333333333334,9.77142857142857
cluster_1_2014-01-21,2014-01-21,cluster_1,6.160335633868732,7.0,1.4,2.6,-2.1,16830.61,32001.816666666666,22.3,38.5,208.12605351317265,3.883333333333333,0.49,2014,1,1,21,0,0.49999999999999994,0.8660254037844387,0.3536761221763716,0.9353679493131483,0,0,11.0,0.5259102714396493,7.7,10987.19,9.0,16185.08,7.5,17200.016666666666,9.133333333333333,9.428571428571429
cluster_1_2014-01-22,2014-01-22,cluster_1,6.1458880468593575,9.6,0.7,7.3,-3.5,11825.35,32154.29333333333,26.0,44.6,170.24521576521045,3.186666666666666,0.48,2014,1,2,22,0,0.49999999999999994,0.8660254037844387,0.3697245428906731,0.9291414114031743,0,0,8.4,0.3677574910424287,7.0,16830.61,7.7,10987.19,10.9,0.0,7.900000000000001,9.357142857142858
cluster_1_2014-01-23,2014-01-23,cluster_1,6.1583720825718,8.5,1.5,4.6,-1.7,15080.946666666669,32309.233333333334,26.4,55.8,254.9473444610972,3.1266666666666665,0.5066666666666666,2014,1,3,23,0,0.49999999999999994,0.8660254037844387,0.38566340624360707,0.9226395488404876,0,0,9.5,0.4667544957376766,9.6,11825.35,7.0,16830.61,10.4,15419.703333333331,8.1,9.171428571428569
cluster_1_2014-01-24,2014-01-24,cluster_1,6.120901631981884,7.4,-0.8,4.3,-4.0,9381.33,32466.45333333333,19.3,41.8,208.1639044536268,2.9166666666666665,0.42,2014,1,4,24,0,0.49999999999999994,0.8660254037844387,0.401487989205973,0.9158642882672872,0,0,10.6,0.28894566825690876,8.5,15080.946666666669,9.6,11825.35,9.8,8478.756666666666,8.366666666666667,8.9
cluster_1_2014-01-25,2014-01-25,cluster_1,5.995187607908107,11.7,-0.4,8.3,-4.1,11112.453333333331,32625.97666666667,34.0,72.0,222.92012128005723,3.0499999999999994,0.5933333333333334,2014,1,5,25,1,0.49999999999999994,0.8660254037844387,0.4171936026123168,0.9088176373395029,0,0,6.300000000000001,0.3405909608746054,7.4,9381.33,8.5,15080.946666666669,10.7,24490.75,8.5,8.557142857142857
